Name,Description,Walk time,Location,Tags
"ST ANDREWS LAKE, HALLING","A former chalk quarry. Turquoise water, chalky-white floor and a sandy beach. Verdant cliffs and deep, clear, cold azure water. Aqua park, paddle boarding and more. OWS all year around via 200m and 500m loops (NOWCA only, Book: standrews watersports.co.uk or 01634 926 204)",15 mins,"51.3531, 0.4350","[""Entry fee""]"
"CLIFFE FORT, HIGHAM","Adventurous, industrial walk out past sand lakes to an abandoned fort and torpedo station among marshes. Old sand quarry lakes or high tide only swim at sea wall side (watch currents). Reached from the pretty church at Lower Higham, which helped inspire Great Expectations (ME3 7LS).",45 mins,"51.4616, 0.4563","[""Walk in"", ""Take extra care"", ""Uncertain access""]"
"ROYAL MILITARY CANAL, BONNINGTON","Open and quiet stretch of this Napoleonic Wars defensive canal, near pretty Saxon church, one of the oldest on the Marshes. Signed St Rumwold church/Newchurch (TN25 7JY) S from Bonnington (B2067) 400m.",5 mins,"51.0707, 0.9435","[""Church / chapel"", ""Good for SUPs""]"
"OLANTIGH, R WYE","Pretty stretch of the young Stour by footbridge, for picnic and paddling. 2km N of Wye, find footpath on L by junction, 100m after gates for Olantigh House (TN25 5EW). River down below in the meadows.",5 mins,"51.2017, 0.9479","[""Kids / paddling"", ""Walk in""]"
"CHARTHAM, R GREAT STOUR","Popular stream pool with rope swing and hidden lake beyond. Park at Chartham village hall and follow the path 300m down along the stream to find small weir, deep pool beneath and rope swing. Continue on 300m to find lake on L. Chartham has a train station or is 3 miles SW of Canterbury on A28. NCN 18.",5 mins,"51.2562, 1.0215","[""Kids / paddling"", ""Near a train station"", ""On a cycle route"", ""Good for SUPs"", ""Jump or rope swing"", ""Long swim possible""]"
"FORDWICH, R GREAT STOUR","Flowing through England’s smallest town, the river is first open and sunny, with a bench and little beach after 1km. It then becomes wooded and secretive (a wooded glade on R, 51.3001,1.1513 after 800m), leading to a wild gravel lake. From King St, CT2 0DE (51.2963, 1.1247) see signs for CanoeWild hire (07947835688, canoewild. co.uk) and follow the river’s N bank. Leads to Westbere Marshes lake (see entry).",40 mins,"51.2988, 1.1365","[""Secluded, remote"", ""Near a train station"", ""Long swim possible"", ""Good for SUPs"", ""On a cycle route""]"
WESTBERE MARSHES,"Large, wild, unfrequented gravel lakes with S facing bays. From Westbere village, cross the railway and bear R along the N shore, to the first bay. Or continue straight to reach the Stour.",10 mins,"51.3047, 1.1479","[""Near a train station"", ""Uncertain access"", ""Long swim possible""]"
"WICKHAMBREAUX, R LITTLE STOUR","Pretty stream and shallow weir pool, near this picturesque village. Turn at the 16th-century Rose Inn (CT3 1RQ, 01227 721763) then first R after school down Seaton Rd. After 300m find footpath on L. Cross field to find stream and pool after 500m. Or follow riverside path 2km down the Newnham Valley to Blue Bridge.",10 mins,"51.286, 1.1961","[""Kids / paddling"", ""Pub"", ""Walk in""]"
"UPSTREET, R GREAT STOUR","Upstream is clean and silky after four miles meandering through the Stodmarsh nature reserve. Opposite Grove Ferry Inn (CT3 4BZ, 01227 860302) signed off A28, find NNR/Stodmarsh gate and river path. Swim upstream from path.",5 mins,"51.3226, 1.2029","[""Long swim possible"", ""Good for SUPs"", ""Pub"", ""On a cycle route""]"
"BUCKLAND PARK LAKE, THE SHAC","Superb, spring-fed lagoon, fringed with silver birch. Flanked by steep, white cliffs on two sides. OWS sessions, book online theshac. co.uk. For a sit-down meal, visit The Reverie (RH3 7BQ, 01737 843023), which offers panoramic views of the lake.",30 mins,"51.2426, -0.2445","[""Entry fee""]"
"DIVERS COVE, GODSTONE","A turquoise, seven-acre reservoir surrounded by a dense wood of silver birch. The water is exceptionally clean and clear due to the sandy floor. OWS run by knowledgeable and enthusiastic staff all year round. Wood-fired saunas and hot tubs are available seasonally. Hot and cold drinks and homemade sausage rolls are served from a small on-site café. N Park Ln, Bletchingley, RH9 8ND. Book at diverscove. co.uk",2 mins,"51.2515, -0.0735","[""Entry fee""]"
BOUGH BEECH LAKE,"Quiet, hidden, wooded reservoir, previously a nature reserve, with some beach areas at this point. Park and walk SW 1km from old oast house (TN14 6LD, 51.2245, 0.1402) or 500m E from 51.2172, 0.1314 (tricky parking).",5 mins,"51.2190, 0.1353","[""Uncertain access"", ""Secluded, remote"", ""Nature / wild flowers""]"
"POUNDSBRIDGE, R EDEN","In remote fields, a bridge with some deep pools under red earth banks, popular for jumps with local kids. Take bridleway track N from All Souls church on narrow lane, limited parking (TN11 8AJ, 51.1541, 0.1968). No Swimming signs.",30 mins,"51.1580, 0.1914","[""Jump or rope swing"", ""Kids / paddling"", ""Long swim possible""]"
"ENSFIELD BRIDGE, R MEDWAY","Open, sunny stretch of river by lane. Steep banks and muddy but good for a longer swim. Explore downstream for another 1km of river to weir, footbridge and hidden lakes among trees (51.1894, 0.2230). On Cycle Route 12. W of Tonbridge, 2km S of Leigh Station on lanes (TN11 8RZ).",2 mins,"51.1857, 0.2133","[""Long swim possible"", ""Good for SUPs"", ""On a cycle route"", ""Near a train station""]"
"EAST LOCK, R MEDWAY","This long stretch of bucolic river E of Tonbridge. Perfect for canoeing and swimming in summer, if you are careful to avoid the bigger boats and locks. There are open meadows and mainly easy banks into deep water. Large network of gravel lakes on S shore too, which could be explored. From Golden Green (The Bell Inn, TN11 0BD, 01732 851748) take Kelchers Ln to East Lock. Cross over for footpath to lakes (circular loop) or continue along riverside path 300m E along river for main swim. Further downstream leads to Oak Weir lock, with more gravel lakes to S, all on footpaths.",15 mins,"51.2009, 0.3537","[""Good for SUPs"", ""Walk in"", ""Long swim possible""]"
"YALDING LEES, R MEDWAY","Kids muck about at the weir, despite the signs and dangers, but local swim groups swim from the ancient common land, downstream the medieval bridge. Council parking by the bridge (ME18 6HG).",5 mins,"51.2227, 0.4214",[]
"ARDINGLY LAKE, BALCOMBE","A beautiful two-pronged reservoir. Good path along N shores. No Swimming, so avoid fishermen and be discreet if you choose to dip at this little beach - 300m S from parking on the lane (RH17 6QY). Or from Balcombe Station follow Mill Lane (signed Ardingly) from mini-roundabout/ postbox. Pick up footpath from parking layby at bottom, beyond bridge to 51.0526, -0.1144. Or 500m N is a footpath to Balcombe Lake, an historic hammer pond (51.0631, -0.1237).",15 mins,"51.0489, -0.0991","[""Uncertain access"", ""Near a train station"", ""Sunset / view""]"
"GRAVETYE LAKE, KINGSCOTE","Lovely little Forestry Commission lake, hidden in deep woods, though sometimes fishing and can get weedy/muddy. 2km walk S from Kingscote Station on wooded footpaths via Hastings Wood, or 1km N on footpath from West Hoathly (bring map!)",10 mins,"51.0902, -0.0505","[""Near a train station"", ""Secluded, remote"", ""Uncertain access""]"
WEIR WOOD RESERVOIR,"Lifeguarded swim sessions 3 times a week and night swims during the summer. Wetsuit only venue. Swim from sailing club (RH18 5HT) on S side. Book on 01342 621271, weirwood.co.uk",10 mins,"51.0960, 0.0062","[""Near a train station"", ""Secluded, remote""]"
"BORINGWHEEL, HORNEY COMMON","Small fishing lake used for OWS in heart of Ashdown Forest. Allows children from 8 years and no wetsuits required. Cackle St, TN22 3DU, 07973 437234, eequ.org/ ashdownforestleisure",10 mins,"51.0191, 0.0748","[""Entry fee"", ""Near a train station"", ""Secluded, remote"", ""Uncertain access""]"
"WALLERS HAVEN, WARTLING","Very remote, wide river, around 15 feet deep in places with the reed-lined banks. Amazing wild swim experience. From Wartling (3 miles N of Pevensey roundabout) head past church to Horsebridge. Footpath heads upstream. Or explore anywhere on the river.",3 mins,"50.8569, 0.3697","[""Long swim possible"", ""Good for SUPs"", ""Dark skies""]"
"ISFIELD, R OUSE","Arrive by steam train on the Lavender Line. It’s a short walk to the river on the bridleway (TN22 5XJ). Cross the footbridge and head upstream 100m to swim at bend. Or follow the path downstream, swimming all the way to the Anchor Inn.",10 mins,"50.9396, 0.0532","[""Long swim possible""]"
"ANCHOR INN, R OUSE","Remote riverside pub. Bucolic swimming and boating for two miles upstream to Isfield. Hire boats from the Anchor and paddle past grassy meadows for the afternoon. Leave Barcombe Cross dir Spithurst, after ½ mile turn R down singletrack dead-end Anchor Lane to find pub at end past BN8 5EA (01273 400414). Or walk upstream 1 mile from Barcombe Mills (above).",5 mins,"50.9264, 0.0513","[""Good for SUPs"", ""Pub"", ""Long swim possible""]"
"BARCOMBE MILLS, R OUSE","Popular stretch of grassy riverbank and meadows. Steep banks and deep water. 2km N of Lewes, turn L signposted Barcombe off A26. Find car park on R after 1km, after road to BN8 5BY, and head upstream past sluices to meadow.",5 mins,"50.9151, 0.0411","[""Kids / paddling"", ""Long swim possible""]"
"LITLINGTON, R CUCKMERE","Wide grassland vale beneath white horse. Fun at high tide. Approaching from A259 E of Seaford, footpath to river is on L as you enter Litlington village, 200m before the excellent Plough and Harrow (BN26 5RE, 01323 870 632). Head downstream to footbridge.",10 mins,"50.7920, 0.1505","[""Long swim possible"", ""Pub"", ""Walk in""]"
CUCKMERE MEANDERS,"Wide, shallow, warm oxbow lakes cut off from the main river. Stunning setting with option of sea swimming too. On A259 W of Seaford. Park in the ‘overflow’ car park opposite the visitor centre at Exceat. Follow the path down on the L side of the valley 750m.",10 mins,"50.7707, 0.1544","[""Kids / paddling"", ""Long swim possible""]"
DARWELL WOODS,"A bridleway leads down through ancient woods 2km to the isolated silty shores of Darwell Reservoir. There’s a little car park just N of Darwell Hole at 50.9501, 0.4119, TN32 5JB.",30 mins,"50.9599, 0.428","[""Nature / wild flowers"", ""Long swim possible"", ""Uncertain access""]"
BEWL WATER,"The South East’s largest water body. For organised OWS visit bewlwater.co.uk. The lake is surrounded by orchards and no end of secret beaches people dip from discreetly (No Swimming). There is footpath access around the entire perimeter and a 20km mountain bike route. From the main visitor centre head W along the N shore to Bramble Bay. Or try Rosemary Lane off the A21 (51.0630, 0.4205) at the E end. Our favourite is from Three Leg Cross (51.0613, 0.3948) – from the Bull Inn (TN5 7HH) head down Boarders Ln, then turn R at crossroads, downhill to car park and dead end. Camp at Cedar Gables off A21, Flimwell (TN5 7QA, 01892 890566). The footpath behind leads down to a sunsetfacing wooded cove (20 mins, 51.0675, 0.4097). Scotney Castle is also close by.",5 mins,"51.0613, 0.3948","[""Kids / paddling"", ""Campsite"", ""On a cycle route"", ""Uncertain access""]"
"NEWENDEN, R ROTHER","Pleasant river swim and café with campsite and canoe hire. Very clean and lined with reeds, purple loosestrife and marsh marigolds. Park at the boating station (Newenden, TN18 5PP, 01797330025) and swim either up or downstream of bridge.",3 mins,"51.0148, 0.6153","[""Good for SUPs"", ""Campsite"", ""Food / facilities"", ""Long swim possible"", ""Dark skies""]"
"BLACKWALL BRIDGE, R ROTHER",Very wild and remote fenland swim or canoe. Head off in either direction for several miles without sight of a building. 2km N of Peasmarsh (TN31 6TB) in direction of Wittersham.,5 mins,"51.0010, 0.6854","[""Good for SUPs"", ""Secluded, remote"", ""Campsite"", ""Long swim possible""]"
COTSWOLD COUNTRY PARK BEACH,"A popular and safe place with cafe and facilities to introduce children to the delights of open-water swimming and other sports. Best to book ahead. Signed from B4696 just E of Somerford Keynes, GL7 6DF. Open 10am - 7pm, Apr - Oct.",1 mins,"51.6622, -1.9604","[""Entry fee"", ""Long swim possible"", ""Good for SUPs"", ""Kids / paddling"", ""Popular / busy"", ""Picnic spot""]"
"FREETH MERE, COTSWOLD WATER PARK","Explore this complex of 180 marl lakes, created by gravel extraction in the c20 and interlaced with heath and woodland. Much of the area, especially to the W of Ashton Keynes, is now a nature reserve; lakes to N and E have more watersports, including waterskiing. Take the Thames Path W off the B4696, 250m S of the church SN6 6QR. There’s a small layby by the gate or walk on the path from the village itself. After 300m continue straight or take R path for more lakes. Use satellite view for orientation. Keen explorers could also try Cleveland Lake (51.6458, -1.9033), now a nature reserve, from Waterhay pay car park. There are also more formal lake swimming options at Lake 86 or Lake 32 (£10 membership).",10 mins,"51.6462, -1.9494","[""Long swim possible"", ""Uncertain access"", ""Walk in""]"
"BURFORD, RIVER WINDRUSH","An idyllic, rural section of the Windrush, featured in Roger Deakin's book 'Waterlog'. Take Swan Lane out of Burford centre and turn R onto Witney St at end. Lay-by on L by stile after 800m (past OX18 4DR). Follow footpath to meander by the willow tree.",2 mins,"51.8021, -1.6227","[""Long swim possible"", ""Secluded, remote"", ""Picnic spot"", ""Birdlife""]"
